GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005003800,1250,0,103782.5145320393,0.0,3.511111111111111,42.0,0.0,1.3029905919903746,0.0,27.906189142059276,28.766568070930404,0.0,21.97307291726461,20.051179277755335,0.0,1042.58,36.5
36005003900,5581,14,58216.75082426868,0.0,3.221311475409836,99.0,1.309427367357409,8.639180111266274,0.108053822465413,29.36781733300744,23.170983748730823,0.0,20.826469105878058,16.578068511294582,0.0,492.79,35.1
36005004001,1294,1,90322.54528739987,0.0,3.50561797752809,85.0,1.4838233205555802,6.101285539863986,0.0,37.30772397929462,24.3606151237548,0.0,16.171887519780427,14.574664516750593,0.0,1517.98,44.7
36005004100,6162,1,40002.0207355868,0.0,3.1805555555555554,60.0,0.4657943627118785,4.41967106994384,0.8877662423403205,27.661166733991795,31.018086062702807,0.0,19.379429775293573,16.168085753015784,0.0,280.62,37.3
36005004200,7755,11,97936.72074839364,0.0,3.2511627906976743,393.0,3.886281299843803,1.2700654241702152,0.0,31.378886453189583,29.332658828347572,0.0,10.06299408278067,24.06911391166815,0.0,1065.46,39.5
36005004300,5400,15,83243.36682206023,0.0,3.6303030303030304,158.0,4.812485489461066,4.024432641388219,0.0655273702992739,32.5382870713145,16.23739249270724,0.0,23.34769453155602,18.97418040327368,0.0,449.87,34.4
36005004400,4303,12,91309.84989085626,0.0,3.245833333333333,220.0,1.5919416275922225,0.6304660819715041,0.0,25.76197339756343,45.46636454779772,0.0,11.040183026672878,15.509071318402254,0.0,468.75,35.3
36005004600,1478,6,111095.89522461176,0.0,3.451388888888889,140.0,3.408947940487387,0.7748313347775679,0.0,29.352891413740995,31.836707056491186,0.0,13.727202488669937,20.899419765832928,0.0,590.65,40.2
36005004800,4204,8,68476.2288614416,0.0,3.5064935064935066,74.0,2.1173716255541626,4.753169737704084,0.0,25.985086557164404,29.876297680589204,0.0,16.23297279669759,21.035101602290553,0.0,689.81,30.0
36005005001,4878,0,80244.67273163056,0.0,3.4716981132075473,48.0,0.3632629985752406,0.0,0.0,30.759056055155582,17.70784675213195,0.0,36.8817289823456,14.288105211791622,0.0,646.77,28.2
